#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
502767,2016-08-31,20,Robo,-34.6284686889999,-58.5303089609999,VERSALLES,COMUNA 10
502773,2016-08-31,22,Robo,-34.617530495,-58.529824273,VILLA REAL,COMUNA 10
502872,2016-08-31,23,Robo,-34.637857562,-58.5270999329999,LINIERS,COMUNA 9
502956,2016-08-31,17,Robo,-34.6084903289999,-58.523865148,VILLA DEVOTO,COMUNA 11
503181,2016-08-31,14,Robo,-34.6230359799999,-58.515402003,MONTE CASTRO,COMUNA 10
506736,2016-08-31,11,Robo,-34.603232588,-58.508897804,VILLA DEVOTO,COMUNA 11
510258,2016-08-31,15,Robo,-34.6247985699999,-58.508100032,MONTE CASTRO,COMUNA 10
510297,2016-08-31,19,Robo automotor,-34.5874371469999,-58.507523835,VILLA PUEYRREDON,COMUNA 12
510306,2016-08-31,19,Robo,-34.575202455,-58.5071662829999,VILLA PUEYRREDON,COMUNA 12
510312,2016-08-31,12,Robo,-34.581070831,-58.507089029,VILLA PUEYRREDON,COMUNA 12
510318,2016-08-31,14,Robo,-34.664820774,-58.50702525,MATADEROS,COMUNA 9
510474,2016-08-31,21,Robo,-34.61663814,-58.503908091,MONTE CASTRO,COMUNA 10
510480,2016-08-31,7,Robo,-34.616692368,-58.503887178,MONTE CASTRO,COMUNA 10
515403,2016-08-31,9,Robo,-34.5902565229999,-58.4987455849999,VILLA PUEYRREDON,COMUNA 12
515436,2016-08-31,6,Robo,-34.664506681,-58.4979150579999,MATADEROS,COMUNA 9
515439,2016-08-31,14,Robo,-34.568764513,-58.4978999109999,VILLA URQUIZA,COMUNA 12
515514,2016-08-31,16,Robo,-34.651488566,-58.496703692,MATADEROS,COMUNA 9
515595,2016-08-31,20,Robo,-34.6442990749999,-58.4956859769999,VILLA LURO,COMUNA 10
517998,2016-08-31,19,Robo,-34.624319155,-58.4954875939999,VELEZ SARSFIELD,COMUNA 10
518043,2016-08-31,18,Robo,-34.571187368,-58.4948057569999,VILLA URQUIZA,COMUNA 12
518187,2016-08-31,9,Robo,-34.567251875,-58.4924532809999,VILLA URQUIZA,COMUNA 12
522726,2016-08-31,10,Robo,-34.65275861,-58.491935676,MATADEROS,COMUNA 9
527346,2016-08-31,0,Robo automotor,-34.68456778,-58.486011585,VILLA LUGANO,COMUNA 8
527421,2016-08-31,18,Robo,-34.60868878,-58.485206121,VILLA DEL PARQUE,COMUNA 11
527472,2016-08-31,15,Robo,-34.646331351,-58.4848059289999,PARQUE AVELLANEDA,COMUNA 9
532482,2016-08-31,20,Robo,-34.649457087,-58.4823654429999,PARQUE AVELLANEDA,COMUNA 9
532578,2016-08-31,5,Robo,-34.658527507,-58.481110616,MATADEROS,COMUNA 9
532584,2016-08-31,15,Robo,-34.580072451,-58.481025498,VILLA URQUIZA,COMUNA 12
532596,2016-08-31,22,Robo,-34.640686811,-58.480881586,PARQUE AVELLANEDA,COMUNA 9
532623,2016-08-31,8,Robo automotor,-34.6304368479999,-58.480633825,FLORESTA,COMUNA 10
532656,2016-08-31,18,Robo,-34.564113479,-58.48026705,VILLA URQUIZA,COMUNA 12
532680,2016-08-31,6,Robo,-34.5770802929999,-58.479709331,VILLA URQUIZA,COMUNA 12
532800,2016-08-31,21,Robo,-34.553567044,-58.478560177,SAAVEDRA,COMUNA 12
532824,2016-08-31,21,Robo automotor,-34.554204371,-58.4782314719999,SAAVEDRA,COMUNA 12
532863,2016-08-31,14,Robo,-34.611640721,-58.477832759,VILLA SANTA RITA,COMUNA 11
533058,2016-08-31,7,Robo automotor,-34.673215593,-58.476424332,VILLA LUGANO,COMUNA 8
537987,2016-08-31,14,Robo,-34.5802775729999,-58.475497708,PARQUE CHAS,COMUNA 15
538179,2016-08-31,15,Robo automotor,-34.670846334,-58.473651918,VILLA LUGANO,COMUNA 8
538239,2016-08-31,17,Robo,-34.5708169919999,-58.472859808,VILLA URQUIZA,COMUNA 12
538254,2016-08-31,12,Robo,-34.5375213629999,-58.472748117,NUÑEZ,COMUNA 13
538272,2016-08-31,18,Robo,-34.566235529,-58.4726727509999,COGHLAN,COMUNA 12
542715,2016-08-31,14,Robo,-34.5442514279999,-58.470389863,NUÑEZ,COMUNA 13
542781,2016-08-31,18,Robo,-34.5507188139999,-58.469915672,NUÑEZ,COMUNA 13
542790,2016-08-31,0,Robo,-34.638076422,-58.469860179,FLORES,COMUNA 7
542823,2016-08-31,20,Robo,-34.5437799979999,-58.469418189,NUÑEZ,COMUNA 13
542853,2016-08-31,22,Robo,-34.636667111,-58.469100999,FLORES,COMUNA 7
542856,2016-08-31,21,Robo,-34.673049826,-58.469086558,VILLA LUGANO,COMUNA 8
548505,2016-08-31,20,Robo,-34.582276356,-58.466827794,VILLA ORTUZAR,COMUNA 15
548592,2016-08-31,19,Robo,-34.566850963,-58.466094216,BELGRANO,COMUNA 13
548667,2016-08-31,21,Robo,-34.6085933219999,-58.4654631349999,VILLA GRAL. MITRE,COMUNA 11
548877,2016-08-31,22,Robo,-34.5501429079999,-58.463488915,NUÑEZ,COMUNA 13
548892,2016-08-31,19,Robo,-34.6318270039999,-58.463369212,FLORES,COMUNA 7
548907,2016-08-31,15,Robo automotor,-34.569452269,-58.463333499,BELGRANO,COMUNA 13
548994,2016-08-31,11,Robo,-34.6296408219999,-58.4628143749999,FLORES,COMUNA 7
553002,2016-08-31,8,Robo,-34.55786463,-58.460507784,BELGRANO,COMUNA 13
553095,2016-08-31,22,Robo,-34.633999907,-58.460046361,FLORES,COMUNA 7
557475,2016-08-31,22,Robo,-34.5530334699999,-58.4572300729999,BELGRANO,COMUNA 13
557499,2016-08-31,15,Robo,-34.631774704,-58.457139291,FLORES,COMUNA 7
560571,2016-08-31,10,Robo,-34.630301039,-58.456553066,FLORES,COMUNA 7
560628,2016-08-31,2,Robo,-34.633740565,-58.456113493,FLORES,COMUNA 7
560691,2016-08-31,17,Robo,-34.623016412,-58.4556195219999,FLORES,COMUNA 7
560784,2016-08-31,19,Robo,-34.605209251,-58.454609311,VILLA CRESPO,COMUNA 15
564333,2016-08-31,18,Robo,-34.558495965,-58.4543827649999,BELGRANO,COMUNA 13
567825,2016-08-31,18,Robo,-34.6613235249999,-58.449941489,VILLA SOLDATI,COMUNA 8
571695,2016-08-31,12,Robo,-34.654207764,-58.4494402189999,VILLA SOLDATI,COMUNA 8
571770,2016-08-31,20,Robo,-34.663646867,-58.44892492,VILLA SOLDATI,COMUNA 8
571788,2016-08-31,16,Robo,-34.574112412,-58.4488295579999,COLEGIALES,COMUNA 13
571869,2016-08-31,23,Robo automotor,-34.630846102,-58.448227253,PARQUE CHACABUCO,COMUNA 7
572022,2016-08-31,9,Robo,-34.662031535,-58.44693555,VILLA SOLDATI,COMUNA 8
572079,2016-08-31,16,Robo,-34.644052245,-58.446717346,FLORES,COMUNA 7
