#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
500577,2016-02-29,0,Robo,-34.6383292369999,-58.528369905,LINIERS,COMUNA 9
500628,2016-02-29,20,Robo,-34.63871461,-58.526185259,LINIERS,COMUNA 9
500679,2016-02-29,10,Robo,-34.637584073,-58.523229332,LINIERS,COMUNA 9
500709,2016-02-29,15,Robo,-34.6083638179999,-58.522214194,VILLA DEVOTO,COMUNA 11
500838,2016-02-29,11,Robo,-34.6587137499999,-58.5167844819999,MATADEROS,COMUNA 9
500841,2016-02-29,22,Robo,-34.598161999,-58.516748756,VILLA DEVOTO,COMUNA 11
504984,2016-02-29,21,Robo,-34.6601339219999,-58.513136317,MATADEROS,COMUNA 9
505038,2016-02-29,12,Robo,-34.578787764,-58.511192691,VILLA PUEYRREDON,COMUNA 12
505098,2016-02-29,12,Robo,-34.622004693,-58.510090971,MONTE CASTRO,COMUNA 10
505125,2016-02-29,17,Robo,-34.606264924,-58.509350023,VILLA DEVOTO,COMUNA 11
505179,2016-02-29,19,Robo,-34.581806345,-58.508168622,VILLA PUEYRREDON,COMUNA 12
508065,2016-02-29,10,Robo,-34.5722967099999,-58.5053409619999,VILLA PUEYRREDON,COMUNA 12
508146,2016-02-29,15,Robo,-34.625572474,-58.504297407,VELEZ SARSFIELD,COMUNA 10
508305,2016-02-29,7,Robo automotor,-34.6711180949999,-58.501070521,MATADEROS,COMUNA 9
511971,2016-02-29,16,Robo,-34.664455415,-58.499701968,MATADEROS,COMUNA 9
511989,2016-02-29,13,Robo,-34.622537751,-58.499480333,VELEZ SARSFIELD,COMUNA 10
513699,2016-02-29,15,Robo,-34.580176416,-58.498071572,VILLA PUEYRREDON,COMUNA 12
513858,2016-02-29,1,Robo,-34.6158312809999,-58.4948932729999,MONTE CASTRO,COMUNA 10
513921,2016-02-29,5,Robo,-34.6300745529999,-58.494191009,VELEZ SARSFIELD,COMUNA 10
516690,2016-02-29,7,Robo,-34.651733457,-58.4931647349999,MATADEROS,COMUNA 9
516717,2016-02-29,0,Robo automotor,-34.6471055879999,-58.4925695379999,MATADEROS,COMUNA 9
519546,2016-02-29,18,Robo,-34.6350782559999,-58.489568564,VELEZ SARSFIELD,COMUNA 10
519639,2016-02-29,0,Robo,-34.564667361,-58.488018395,VILLA URQUIZA,COMUNA 12
525744,2016-02-29,21,Robo automotor,-34.6705588679999,-58.4842238699999,VILLA LUGANO,COMUNA 8
529239,2016-02-29,0,Robo,-34.6269006649999,-58.4809881469999,FLORESTA,COMUNA 10
529305,2016-02-29,11,Robo,-34.657387226,-58.480328616,MATADEROS,COMUNA 9
529389,2016-02-29,0,Robo,-34.6327178779999,-58.4795202179999,FLORESTA,COMUNA 10
529545,2016-02-29,21,Robo,-34.589638356,-58.4776831259999,PARQUE CHAS,COMUNA 15
529560,2016-02-29,0,Robo,-34.674639175,-58.477591619,VILLA LUGANO,COMUNA 8
529593,2016-02-29,11,Robo,-34.629566971,-58.4773172389999,FLORESTA,COMUNA 10
529611,2016-02-29,18,Robo,-34.576092133,-58.477176028,VILLA URQUIZA,COMUNA 12
535398,2016-02-29,0,Robo,-34.63031188,-58.475788086,FLORESTA,COMUNA 10
535449,2016-02-29,18,Robo automotor,-34.6773667529999,-58.4752067759999,VILLA LUGANO,COMUNA 8
535494,2016-02-29,5,Robo,-34.58085239,-58.474908683,PARQUE CHAS,COMUNA 15
535626,2016-02-29,19,Robo,-34.61343756,-58.4734779199999,VILLA GRAL. MITRE,COMUNA 11
535887,2016-02-29,8,Robo,-34.5945122269999,-58.472256929,PATERNAL,COMUNA 15
540540,2016-02-29,15,Robo,-34.628969242,-58.470847947,FLORES,COMUNA 7
540585,2016-02-29,21,Robo,-34.671850365,-58.470580524,VILLA LUGANO,COMUNA 8
540591,2016-02-29,15,Robo,-34.625046141,-58.470568639,FLORES,COMUNA 7
540615,2016-02-29,11,Robo,-34.616321085,-58.470272834,VILLA GRAL. MITRE,COMUNA 11
545085,2016-02-29,16,Robo automotor,-34.659970304,-58.468240152,VILLA LUGANO,COMUNA 8
545208,2016-02-29,22,Robo,-34.634401978,-58.466416878,FLORES,COMUNA 7
545217,2016-02-29,19,Robo,-34.618011183,-58.4663699129999,FLORES,COMUNA 7
545259,2016-02-29,22,Robo,-34.628668723,-58.465846195,FLORES,COMUNA 7
545337,2016-02-29,12,Robo,-34.615333721,-58.464992133,VILLA GRAL. MITRE,COMUNA 11
545448,2016-02-29,15,Robo,-34.57105066,-58.463912792,BELGRANO,COMUNA 13
551319,2016-02-29,9,Robo,-34.615533016,-58.46323652,FLORES,COMUNA 7
551559,2016-02-29,14,Robo,-34.5595609069999,-58.460869991,BELGRANO,COMUNA 13
