#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
503445,2016-10-31,20,Robo,-34.617328281,-58.480575351,VILLA SANTA RITA,COMUNA 11
503574,2016-10-31,19,Robo,-34.6714791,-58.4692854,VILLA LUGANO,COMUNA 8
507015,2016-10-31,0,Robo,-34.59384427,-58.455932036,CHACARITA,COMUNA 15
510711,2016-10-31,17,Robo,-34.5871874069999,-58.454333189,CHACARITA,COMUNA 15
510873,2016-10-31,7,Robo,-34.618441987,-58.4508176849999,CABALLITO,COMUNA 6
510942,2016-10-31,19,Robo automotor,-34.5970300119999,-58.449689916,VILLA CRESPO,COMUNA 15
510996,2016-10-31,15,Robo,-34.616570818,-58.4491031649999,CABALLITO,COMUNA 6
511029,2016-10-31,0,Robo,-34.6249797799999,-58.4484712779999,CABALLITO,COMUNA 6
511038,2016-10-31,18,Robo,-34.623852713,-58.448353369,CABALLITO,COMUNA 6
515667,2016-10-31,8,Robo,-34.620093131,-58.445447964,CABALLITO,COMUNA 6
515880,2016-10-31,11,Robo,-34.6190664719999,-58.4428873269999,CABALLITO,COMUNA 6
515907,2016-10-31,17,Robo,-34.6354654689999,-58.442418026,PARQUE CHACABUCO,COMUNA 7
515952,2016-10-31,12,Robo,-34.608454765,-58.4419999089999,CABALLITO,COMUNA 6
518304,2016-10-31,10,Robo,-34.610915023,-58.441443138,CABALLITO,COMUNA 6
518325,2016-10-31,12,Robo,-34.625414339,-58.4411845179999,CABALLITO,COMUNA 6
518415,2016-10-31,20,Robo,-34.630059471,-58.44014605,PARQUE CHACABUCO,COMUNA 7
518442,2016-10-31,17,Robo,-34.610361709,-58.4398672899999,CABALLITO,COMUNA 6
523491,2016-10-31,11,Robo,-34.612380559,-58.438984272,CABALLITO,COMUNA 6
523560,2016-10-31,13,Robo,-34.6155619469999,-58.438533343,CABALLITO,COMUNA 6
523602,2016-10-31,23,Robo,-34.642392748,-58.438373827,PARQUE CHACABUCO,COMUNA 7
523641,2016-10-31,22,Robo,-34.550205666,-58.438138895,BELGRANO,COMUNA 13
523752,2016-10-31,16,Robo,-34.617847925,-58.437005402,CABALLITO,COMUNA 6
523797,2016-10-31,13,Robo,-34.6202061979999,-58.436686369,CABALLITO,COMUNA 6
523806,2016-10-31,8,Robo,-34.626594595,-58.4365177449999,CABALLITO,COMUNA 6
523857,2016-10-31,17,Robo,-34.644483307,-58.4360247549999,PARQUE CHACABUCO,COMUNA 7
524085,2016-10-31,7,Robo,-34.632060666,-58.433512112,PARQUE CHACABUCO,COMUNA 7
527829,2016-10-31,9,Robo,-34.6286840619999,-58.432615816,PARQUE CHACABUCO,COMUNA 7
527901,2016-10-31,19,Robo,-34.627230373,-58.431666106,CABALLITO,COMUNA 6
527997,2016-10-31,23,Robo,-34.6180738149999,-58.43054047,CABALLITO,COMUNA 6
533349,2016-10-31,21,Robo,-34.617893868,-58.429138106,CABALLITO,COMUNA 6
533574,2016-10-31,23,Robo,-34.591225876,-58.4268065219999,PALERMO,COMUNA 14
538680,2016-10-31,13,Robo,-34.602730556,-58.421566261,ALMAGRO,COMUNA 5
538704,2016-10-31,9,Robo,-34.6237623449999,-58.421175553,BOEDO,COMUNA 5
538911,2016-10-31,23,Robo,-34.6247387299999,-58.419615058,BOEDO,COMUNA 5
538941,2016-10-31,19,Robo,-34.606850607,-58.419258272,ALMAGRO,COMUNA 5
538992,2016-10-31,20,Robo,-34.6130388199999,-58.418836491,ALMAGRO,COMUNA 5
543573,2016-10-31,2,Robo,-34.6319457229999,-58.415046393,BOEDO,COMUNA 5
543663,2016-10-31,12,Robo,-34.5987585629999,-58.414181699,ALMAGRO,COMUNA 5
543771,2016-10-31,0,Robo,-34.612196716,-58.414023406,ALMAGRO,COMUNA 5
543831,2016-10-31,12,Robo,-34.612196716,-58.414023406,ALMAGRO,COMUNA 5
549510,2016-10-31,0,Robo,-34.608779978,-58.412389865,BALVANERA,COMUNA 3
549666,2016-10-31,23,Robo automotor,-34.616200739,-58.411616985,BALVANERA,COMUNA 3
549768,2016-10-31,21,Robo,-34.588625838,-58.4106570439999,PALERMO,COMUNA 14
549771,2016-10-31,8,Robo,-34.606280559,-58.410617379,BALVANERA,COMUNA 3
549870,2016-10-31,8,Robo,-34.617228967,-58.410040887,BALVANERA,COMUNA 3
553314,2016-10-31,15,Robo,-34.592671336,-58.4089993919999,RECOLETA,COMUNA 2
553347,2016-10-31,4,Robo,-34.628970559,-58.408437318,SAN CRISTOBAL,COMUNA 3
553380,2016-10-31,10,Robo,-34.626836539,-58.408271907,SAN CRISTOBAL,COMUNA 3
553452,2016-10-31,6,Robo,-34.624906251,-58.407773434,SAN CRISTOBAL,COMUNA 3
553518,2016-10-31,21,Robo,-34.6132149319999,-58.407132824,BALVANERA,COMUNA 3
555525,2016-10-31,16,Robo,-34.607323896,-58.406730392,BALVANERA,COMUNA 3
555657,2016-10-31,2,Robo,-34.6084243029999,-58.406637702,BALVANERA,COMUNA 3
555663,2016-10-31,13,Robo,-34.6084243029999,-58.406637702,BALVANERA,COMUNA 3
555669,2016-10-31,16,Robo,-34.6084243029999,-58.406637702,BALVANERA,COMUNA 3
555672,2016-10-31,11,Robo,-34.6084243029999,-58.406637702,BALVANERA,COMUNA 3
557640,2016-10-31,8,Robo,-34.606123705,-58.4065378569999,BALVANERA,COMUNA 3
557658,2016-10-31,15,Robo,-34.610842432,-58.406462526,BALVANERA,COMUNA 3
557700,2016-10-31,20,Robo,-34.6096313909999,-58.4060516659999,BALVANERA,COMUNA 3
557742,2016-10-31,12,Robo,-34.604163747,-58.406043333,BALVANERA,COMUNA 3
557745,2016-10-31,19,Robo,-34.604163747,-58.406043333,BALVANERA,COMUNA 3
560910,2016-10-31,23,Robo,-34.6197578649999,-58.405373534,SAN CRISTOBAL,COMUNA 3
561033,2016-10-31,1,Robo,-34.5728931699999,-58.404150532,PALERMO,COMUNA 14
561150,2016-10-31,14,Robo,-34.6233545869999,-58.402742679,SAN CRISTOBAL,COMUNA 3
561687,2016-10-31,6,Robo,-34.590929279,-58.402082384,RECOLETA,COMUNA 2
564831,2016-10-31,15,Robo,-34.627006627,-58.4018985719999,SAN CRISTOBAL,COMUNA 3
565047,2016-10-31,23,Robo,-34.6228723039999,-58.3994696249999,SAN CRISTOBAL,COMUNA 3
565086,2016-10-31,14,Robo,-34.6028807509999,-58.398957121,BALVANERA,COMUNA 3
567957,2016-10-31,14,Robo,-34.624070101,-58.3979181239999,SAN CRISTOBAL,COMUNA 3
567969,2016-10-31,16,Robo,-34.5870946639999,-58.397806639,RECOLETA,COMUNA 2
567990,2016-10-31,1,Robo,-34.601721196,-58.397546328,BALVANERA,COMUNA 3
568119,2016-10-31,20,Robo,-34.605303206,-58.395273421,BALVANERA,COMUNA 3
568155,2016-10-31,15,Robo,-34.5953638519999,-58.3947887419999,RECOLETA,COMUNA 2
572316,2016-10-31,20,Robo,-34.619873851,-58.393767823,SAN CRISTOBAL,COMUNA 3
572346,2016-10-31,20,Robo,-34.5931418439999,-58.393523025,RECOLETA,COMUNA 2
572382,2016-10-31,13,Robo,-34.5935278659999,-58.39298772,RECOLETA,COMUNA 2
572523,2016-10-31,10,Robo,-34.6144996469999,-58.3922661839999,BALVANERA,COMUNA 3
572535,2016-10-31,23,Robo,-34.616421279,-58.3922493429999,BALVANERA,COMUNA 3
572541,2016-10-31,5,Robo,-34.615284867,-58.392244911,BALVANERA,COMUNA 3
572544,2016-10-31,20,Robo,-34.618952437,-58.392204455,SAN CRISTOBAL,COMUNA 3
572571,2016-10-31,14,Robo,-34.6211182239999,-58.3921441329999,SAN CRISTOBAL,COMUNA 3
572574,2016-10-31,14,Robo,-34.622305415,-58.392078278,SAN CRISTOBAL,COMUNA 3
573072,2016-10-31,20,Robo,-34.633872487,-58.3919961239999,PARQUE PATRICIOS,COMUNA 4
575535,2016-10-31,20,Robo,-34.6248137279999,-58.3919012,SAN CRISTOBAL,COMUNA 3
575766,2016-10-31,20,Robo,-34.6174576929999,-58.389637007,MONSERRAT,COMUNA 1
575787,2016-10-31,3,Robo,-34.5869705759999,-58.3895816679999,RECOLETA,COMUNA 2
579552,2016-10-31,19,Robo,-34.5942542299999,-58.389187207,RECOLETA,COMUNA 2
579585,2016-10-31,8,Robo,-34.598719037,-58.3888269719999,RECOLETA,COMUNA 2
583548,2016-10-31,4,Robo,-34.624243501,-58.383506177,CONSTITUCION,COMUNA 1
583602,2016-10-31,18,Robo,-34.628615004,-58.383339499,CONSTITUCION,COMUNA 1
583701,2016-10-31,2,Robo,-34.626473512,-58.382795191,CONSTITUCION,COMUNA 1
585636,2016-10-31,0,Robo automotor,-34.6317607,-58.38180297,BARRACAS,COMUNA 4
589272,2016-10-31,15,Robo,-34.600980493,-58.381686641,SAN NICOLAS,COMUNA 1
589302,2016-10-31,21,Robo,-34.6036580099999,-58.381418348,SAN NICOLAS,COMUNA 1
589371,2016-10-31,6,Robo,-34.5973477219999,-58.380408138,RETIRO,COMUNA 1
589470,2016-10-31,17,Robo,-34.614812797,-58.379454408,MONSERRAT,COMUNA 1
589491,2016-10-31,0,Robo,-34.621679537,-58.379214694,CONSTITUCION,COMUNA 1
589494,2016-10-31,2,Robo,-34.6231839979999,-58.379199011,CONSTITUCION,COMUNA 1
589569,2016-10-31,8,Robo,-34.5946885729999,-58.378370724,RETIRO,COMUNA 1
589572,2016-10-31,5,Robo,-34.5946885729999,-58.378370724,RETIRO,COMUNA 1
591762,2016-10-31,2,Robo,-34.626460972,-58.377791971,CONSTITUCION,COMUNA 1
591798,2016-10-31,5,Robo,-34.603011449,-58.377241773,SAN NICOLAS,COMUNA 1
591813,2016-10-31,15,Robo,-34.608928927,-58.376898363,MONSERRAT,COMUNA 1
591852,2016-10-31,8,Robo,-34.619240421,-58.376379979,SAN TELMO,COMUNA 1
593838,2016-10-31,17,Robo,-34.6029263519999,-58.3758227719999,SAN NICOLAS,COMUNA 1
593850,2016-10-31,17,Robo,-34.6042030849999,-58.375760976,SAN NICOLAS,COMUNA 1
593859,2016-10-31,12,Robo,-34.616338818,-58.375715951,SAN TELMO,COMUNA 1
595656,2016-10-31,23,Robo,-34.623482146,-58.374660647,SAN TELMO,COMUNA 1
595737,2016-10-31,19,Robo,-34.606435674,-58.374237449,SAN NICOLAS,COMUNA 1
597753,2016-10-31,16,Robo,-34.6156284429999,-58.373744396,MONSERRAT,COMUNA 1
599955,2016-10-31,22,Robo,-34.6300690899999,-58.3722433039999,BARRACAS,COMUNA 4
600003,2016-10-31,15,Robo,-34.6408928979999,-58.37136473,BARRACAS,COMUNA 4
603993,2016-10-31,4,Robo,-34.629984529,-58.3639784979999,BOCA,COMUNA 4
603996,2016-10-31,1,Robo,-34.6385799139999,-58.3637880909999,BOCA,COMUNA 4
604224,2016-10-31,9,Robo,-34.69440567,-58.473011277,VILLA RIACHUELO,COMUNA 8
608184,2016-10-31,17,Robo,-34.690312589,-58.473448587,VILLA RIACHUELO,COMUNA 8
608292,2016-10-31,22,Robo,-34.68456778,-58.486011584,VILLA LUGANO,COMUNA 8
608307,2016-10-31,19,Robo,-34.6843062139999,-58.4652070939999,VILLA LUGANO,COMUNA 8
614085,2016-10-31,7,Robo,-34.667536244,-58.476194256,VILLA LUGANO,COMUNA 8
614088,2016-10-31,7,Robo,-34.667536244,-58.476194256,VILLA LUGANO,COMUNA 8
614139,2016-10-31,11,Robo,-34.6668454599999,-58.434128243,VILLA SOLDATI,COMUNA 8
614214,2016-10-31,16,Robo,-34.6647139359999,-58.513853406,MATADEROS,COMUNA 9
619317,2016-10-31,5,Robo,-34.6644508489999,-58.45051603,VILLA SOLDATI,COMUNA 8
619326,2016-10-31,19,Robo,-34.6642457889999,-58.4707804769999,VILLA LUGANO,COMUNA 8
619371,2016-10-31,12,Robo,-34.6636468679999,-58.448924921,VILLA SOLDATI,COMUNA 8
619515,2016-10-31,9,Robo,-34.660896076,-58.5102426289999,MATADEROS,COMUNA 9
619518,2016-10-31,18,Robo,-34.660885532,-58.481502741,VILLA LUGANO,COMUNA 8
619647,2016-10-31,12,Robo,-34.65896688,-58.4887328999999,MATADEROS,COMUNA 9
623826,2016-10-31,0,Robo,-34.655904044,-58.5068085579999,MATADEROS,COMUNA 9
623970,2016-10-31,20,Robo,-34.654940692,-58.5263155499999,LINIERS,COMUNA 9
624078,2016-10-31,8,Robo,-34.653670307,-58.5066860979999,MATADEROS,COMUNA 9
624186,2016-10-31,6,Robo,-34.653074977,-58.42116427,NUEVA POMPEYA,COMUNA 4
629076,2016-10-31,10,Robo,-34.6502824,-58.4441503959999,FLORES,COMUNA 7
629109,2016-10-31,20,Robo,-34.649862071,-58.405829148,NUEVA POMPEYA,COMUNA 4
629115,2016-10-31,13,Robo,-34.6498484969999,-58.430404854,NUEVA POMPEYA,COMUNA 4
629259,2016-10-31,20,Robo,-34.648848738,-58.495094391,MATADEROS,COMUNA 9
632241,2016-10-31,20,Robo,-34.6473662,-58.46547865,PARQUE AVELLANEDA,COMUNA 9
632268,2016-10-31,15,Robo automotor,-34.6469357629999,-58.3829098259999,BARRACAS,COMUNA 4
632385,2016-10-31,0,Robo,-34.646036125,-58.450806212,FLORES,COMUNA 7
632535,2016-10-31,15,Robo,-34.6455146939999,-58.52930007,LINIERS,COMUNA 9
639312,2016-10-31,18,Robo,-34.644442171,-58.495848216,MATADEROS,COMUNA 9
639423,2016-10-31,19,Robo,-34.6434730459999,-58.422571967,NUEVA POMPEYA,COMUNA 4
639441,2016-10-31,18,Robo,-34.643312672,-58.526707566,LINIERS,COMUNA 9
639453,2016-10-31,7,Robo,-34.643185585,-58.502406389,VILLA LURO,COMUNA 10
639534,2016-10-31,16,Robo,-34.6423944329999,-58.4619553709999,FLORES,COMUNA 7
639543,2016-10-31,6,Robo,-34.6423416229999,-58.5123607589999,LINIERS,COMUNA 9
639552,2016-10-31,12,Robo,-34.6422453979999,-58.4743100009999,PARQUE AVELLANEDA,COMUNA 9
639591,2016-10-31,16,Robo automotor,-34.6418854889999,-58.50300112,VILLA LURO,COMUNA 10
639645,2016-10-31,7,Robo,-34.641243822,-58.528091546,LINIERS,COMUNA 9
639660,2016-10-31,18,Robo,-34.6411241709999,-58.5000786809999,VILLA LURO,COMUNA 10
639702,2016-10-31,0,Robo,-34.6406034249999,-58.454327674,FLORES,COMUNA 7
639789,2016-10-31,18,Robo,-34.639745004,-58.424061958,PARQUE CHACABUCO,COMUNA 7
639861,2016-10-31,21,Robo,-34.6389950019999,-58.420050429,BOEDO,COMUNA 5
