#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
584104,2017-05-31,7,Robo,-34.6545784948168,-58.3987712860107,BARRACAS,COMUNA 4
584107,2017-05-31,3,Robo,-34.6152664,-58.3812322,MONSERRAT,COMUNA 1
584110,2017-05-31,7,Robo,-34.6317275,-58.4795638,FLORESTA,COMUNA 10
584113,2017-05-31,7,Robo,-34.5551548,-58.4743669,COGHLAN,COMUNA 12
584116,2017-05-31,11,Robo,-34.605183,-58.3778116,SAN NICOLAS,COMUNA 1
584119,2017-05-31,8,Robo,-34.6224567,-58.4457628,CABALLITO,COMUNA 6
584122,2017-05-31,19,Robo,-34.6530723,-58.524335,LINIERS,COMUNA 9
584125,2017-05-31,19,Robo,-34.6120233,-58.3833121,MONSERRAT,COMUNA 1
584128,2017-05-31,23,Robo,-34.6511283,-58.3889968,BARRACAS,COMUNA 4
584131,2017-05-31,6,Robo,-34.5959852,-58.4993844,AGRONOMIA,COMUNA 15
584134,2017-05-31,0,Robo,-34.6483513,-58.4163263,NUEVA POMPEYA,COMUNA 4
584137,2017-05-31,18,Robo,-34.564909,-58.4591517,BELGRANO,COMUNA 13
584140,2017-05-31,19,Robo,-34.6307569,-58.4651302,FLORES,COMUNA 7
584143,2017-05-31,19,Robo,-34.5743445,-58.4552726,COLEGIALES,COMUNA 13
584146,2017-05-31,21,Robo,-34.6219988,-58.4399133,CABALLITO,COMUNA 6
584149,2017-05-31,12,Robo,-34.596413,-58.43339,VILLA CRESPO,COMUNA 15
584152,2017-05-31,4,Robo,-34.5687785,-58.4576097,BELGRANO,COMUNA 13
584155,2017-05-31,19,Robo,-34.6238247,-58.4407521,CABALLITO,COMUNA 6
584158,2017-05-31,22,Robo,-34.6547074,-58.4340001,VILLA SOLDATI,COMUNA 8
584161,2017-05-31,1,Robo,-34.6140403,-58.4336488,CABALLITO,COMUNA 6
584164,2017-05-31,16,Robo,-34.610571,-58.4666041,VILLA GRAL. MITRE,COMUNA 11
584167,2017-05-31,5,Robo,-34.6444545,-58.4461316,FLORES,COMUNA 7
584170,2017-05-31,21,Robo,-34.5603562,-58.4466374,BELGRANO,COMUNA 13
584173,2017-05-31,19,Robo,-34.6545784948168,-58.3987712860107,BARRACAS,COMUNA 4
584176,2017-05-31,19,Robo,-34.5603805,-58.4862702,SAAVEDRA,COMUNA 12
584179,2017-05-31,17,Robo,-34.5531786,-58.4556638,BELGRANO,COMUNA 13
584182,2017-05-31,16,Robo,-34.5594979,-58.4451931,BELGRANO,COMUNA 13
584185,2017-05-31,0,Robo,-34.6082635,-58.3799584,SAN NICOLAS,COMUNA 1
584188,2017-05-31,19,Robo,-34.6008737,-58.4045066,BALVANERA,COMUNA 3
584191,2017-05-31,21,Robo,-34.6745975,-58.476696,VILLA LUGANO,COMUNA 8
584194,2017-05-31,15,Robo,-34.5844647,-58.4005702,RECOLETA,COMUNA 2
