#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
252857,2019-04-30,1,Hurto automotor,-34.634645,-58.404312,PARQUE PATRICIOS,COMUNA 4
253431,2019-04-30,23,Hurto automotor,-34.630713,-58.413619,BOEDO,COMUNA 5
253645,2019-04-30,20,Robo,-34.62807,-58.417198,BOEDO,COMUNA 5
254432,2019-04-30,14,Robo,-34.620579,-58.426878,ALMAGRO,COMUNA 5
254599,2019-04-30,17,Robo,-34.625443,-58.415508,BOEDO,COMUNA 5
255523,2019-04-30,22,Hurto automotor,-34.630713,-58.413619,BOEDO,COMUNA 5
255654,2019-04-30,17,Robo,-34.660016,-58.445562,VILLA SOLDATI,COMUNA 8
256197,2019-04-30,12,Hurto,-34.659795,-58.470523,VILLA LUGANO,COMUNA 8
256396,2019-04-30,14,Robo,-34.670293,-58.455742,VILLA SOLDATI,COMUNA 8
256745,2019-04-30,14,Hurto,-34.662352,-58.45305,VILLA SOLDATI,COMUNA 8
257125,2019-04-30,18,Robo,-34.664107,-58.437111,VILLA SOLDATI,COMUNA 8
258587,2019-04-30,14,Robo,-34.670651,-58.489058,VILLA LUGANO,COMUNA 8
259050,2019-04-30,11,Robo,-34.672916,-58.485852,VILLA LUGANO,COMUNA 8
259600,2019-04-30,15,Robo,-34.678742,-58.486677,VILLA LUGANO,COMUNA 8
260017,2019-04-30,21,Hurto,-34.697262,-58.470765,VILLA RIACHUELO,COMUNA 8
260271,2019-04-30,7,Hurto automotor,-34.690591,-58.481072,VILLA RIACHUELO,COMUNA 8
260427,2019-04-30,2,Robo,-34.686891,-58.461599,VILLA LUGANO,COMUNA 8
260515,2019-04-30,9,Robo,-34.690347,-58.461575,VILLA RIACHUELO,COMUNA 8
260636,2019-04-30,12,Robo,-34.686678,-58.458765,VILLA LUGANO,COMUNA 8
261170,2019-04-30,23,Hurto,-34.583427,-58.40205,PALERMO,COMUNA 14
262118,2019-04-30,19,Robo,-34.581748,-58.414231,PALERMO,COMUNA 14
262119,2019-04-30,15,Hurto,-34.581132,-58.412416,PALERMO,COMUNA 14
262203,2019-04-30,15,Robo,-34.571168,-58.423249,PALERMO,COMUNA 14
262515,2019-04-30,14,Robo,-34.562657,-58.416891,PALERMO,COMUNA 14
262618,2019-04-30,12,Robo,-34.577442,-58.422356,PALERMO,COMUNA 14
262944,2019-04-30,19,Hurto,-34.572972,-58.419209,PALERMO,COMUNA 14
263156,2019-04-30,19,Hurto,-34.575644,-58.404121,PALERMO,COMUNA 14
263394,2019-04-30,17,Robo,-34.634339,-58.506726,VILLA LURO,COMUNA 10
263834,2019-04-30,15,Robo,-34.632924,-58.501863,VILLA LURO,COMUNA 10
263905,2019-04-30,22,Hurto automotor,-34.619172,-58.521505,VILLA REAL,COMUNA 10
264511,2019-04-30,9,Hurto,-34.601066,-58.404663,BALVANERA,COMUNA 3
265322,2019-04-30,9,Robo,-34.606157,-58.409704,BALVANERA,COMUNA 3
265441,2019-04-30,19,Hurto,-34.607598,-58.412104,BALVANERA,COMUNA 3
265688,2019-04-30,23,Robo,-34.602833,-58.406282,BALVANERA,COMUNA 3
265728,2019-04-30,14,Hurto,-34.607844,-58.405707,BALVANERA,COMUNA 3
266016,2019-04-30,20,Hurto,-34.603955,-58.410672,BALVANERA,COMUNA 3
266319,2019-04-30,8,Robo,-34.6149,-58.409694,BALVANERA,COMUNA 3
266583,2019-04-30,0,Robo,-34.613366,-58.404568,BALVANERA,COMUNA 3
266592,2019-04-30,18,Robo,-34.613312,-58.405208,BALVANERA,COMUNA 3
