#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
252617,2019-09-30,8,Robo,-34.642611,-58.408817,PARQUE PATRICIOS,COMUNA 4
252819,2019-09-30,12,Hurto,-34.634826,-58.40254,PARQUE PATRICIOS,COMUNA 4
253517,2019-09-30,22,Hurto,-34.621871,-58.419401,BOEDO,COMUNA 5
253784,2019-09-30,8,Hurto automotor,-34.631694,-58.419505,BOEDO,COMUNA 5
254841,2019-09-30,23,Hurto automotor,-34.616654,-58.4245,ALMAGRO,COMUNA 5
254948,2019-09-30,20,Hurto automotor,-34.627928,-58.423837,BOEDO,COMUNA 5
255899,2019-09-30,13,Hurto,-34.652551,-58.451661,VILLA SOLDATI,COMUNA 8
256725,2019-09-30,17,Robo,-34.663126,-58.452003,VILLA SOLDATI,COMUNA 8
257290,2019-09-30,8,Hurto,-34.666116,-58.477769,VILLA LUGANO,COMUNA 8
257560,2019-09-30,20,Robo,-34.680457,-58.482114,VILLA LUGANO,COMUNA 8
257684,2019-09-30,23,Hurto,-34.677187,-58.496958,VILLA LUGANO,COMUNA 8
258360,2019-09-30,20,Hurto,-34.677903,-58.464429,VILLA LUGANO,COMUNA 8
258630,2019-09-30,5,Robo,-34.671294,-58.490546,VILLA LUGANO,COMUNA 8
259383,2019-09-30,8,Hurto,-34.674512,-58.469055,VILLA LUGANO,COMUNA 8
259448,2019-09-30,11,Hurto,-34.682051,-58.473427,VILLA LUGANO,COMUNA 8
259726,2019-09-30,5,Hurto,-34.680495,-58.488755,VILLA LUGANO,COMUNA 8
259938,2019-09-30,7,Robo,-34.684785,-58.486725,VILLA LUGANO,COMUNA 8
260136,2019-09-30,22,Robo,-34.694146,-58.471657,VILLA RIACHUELO,COMUNA 8
260175,2019-09-30,15,Robo,-34.690767,-58.474452,VILLA RIACHUELO,COMUNA 8
260759,2019-09-30,20,Hurto,-34.685005,-58.463551,VILLA LUGANO,COMUNA 8
260813,2019-09-30,12,Hurto,-34.685081,-58.464351,VILLA LUGANO,COMUNA 8
261922,2019-09-30,6,Robo,-34.583091,-58.407104,PALERMO,COMUNA 14
262189,2019-09-30,5,Robo,-34.565227,-58.41973,PALERMO,COMUNA 14
263278,2019-09-30,16,Robo,-34.575181,-58.423414,PALERMO,COMUNA 14
263334,2019-09-30,13,Robo,-34.579577,-58.423355,PALERMO,COMUNA 14
263657,2019-09-30,13,Hurto,-34.614095,-58.525123,VILLA REAL,COMUNA 10
263864,2019-09-30,15,Hurto,-34.633896,-58.49955,VILLA LURO,COMUNA 10
264838,2019-09-30,8,Hurto,-34.605715,-58.405882,BALVANERA,COMUNA 3
265447,2019-09-30,0,Hurto,-34.607836,-58.411429,BALVANERA,COMUNA 3
265595,2019-09-30,9,Hurto,-34.610735,-58.414472,ALMAGRO,COMUNA 5
266939,2019-09-30,14,Hurto,-34.604156,-58.411631,BALVANERA,COMUNA 3
267421,2019-09-30,22,Robo,-34.617179,-58.408109,BALVANERA,COMUNA 3
267479,2019-09-30,11,Hurto,-34.605637,-58.40509,BALVANERA,COMUNA 3
267633,2019-09-30,16,Robo,-34.604211,-58.413073,BALVANERA,COMUNA 3
268139,2019-09-30,9,Robo,-34.611269,-58.407326,BALVANERA,COMUNA 3
269850,2019-09-30,19,Hurto,-34.624182,-58.404781,SAN CRISTOBAL,COMUNA 3
