#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
110970,2021-12-31,16,Robo,-34.621966,-58.50902,MONTE CASTRO,COMUNA 10
110971,2021-12-31,12,Robo,-34.627009,-58.491094,FLORESTA,COMUNA 10
113347,2021-12-31,8,Robo,-34.550129,-58.453125,BELGRANO,COMUNA 13
115655,2021-12-31,1,Robo,-34.589052,-58.430695,PALERMO,COMUNA 14
115657,2021-12-31,5,Hurto,-34.586512,-58.41629,PALERMO,COMUNA 14
115660,2021-12-31,4,Hurto,-34.588628,-58.430327,PALERMO,COMUNA 14
115662,2021-12-31,18,Robo,-34.586182,-58.434978,PALERMO,COMUNA 14
116738,2021-12-31,6,Robo,-34.583103,-58.450117,CHACARITA,COMUNA 15
116745,2021-12-31,8,Robo,-34.590137,-58.452314,CHACARITA,COMUNA 15
118322,2021-12-31,18,Robo,-34.599611,-58.395151,RECOLETA,COMUNA 2
118325,2021-12-31,12,Hurto,-34.596437,-58.406356,RECOLETA,COMUNA 2
119262,2021-12-31,2,Hurto,-34.615925,-58.411132,BALVANERA,COMUNA 3
119263,2021-12-31,2,Hurto,-34.61525,-58.396753,BALVANERA,COMUNA 3
119267,2021-12-31,18,Robo,-34.624466,-58.402128,SAN CRISTOBAL,COMUNA 3
120823,2021-12-31,12,Hurto,-34.644125,-58.418519,NUEVA POMPEYA,COMUNA 4
120826,2021-12-31,0,Hurto,-34.651644,-58.430098,NUEVA POMPEYA,COMUNA 4
120827,2021-12-31,12,Hurto,-34.647291,-58.455909,FLORES,COMUNA 7
120829,2021-12-31,12,Robo,-34.63921,-58.41177,NUEVA POMPEYA,COMUNA 4
121679,2021-12-31,19,Robo,-34.625119,-58.363464,SAN TELMO,COMUNA 1
121680,2021-12-31,5,Hurto,-34.631102,-58.35852,BOCA,COMUNA 4
121681,2021-12-31,8,Robo,-34.627139,-58.367954,SAN TELMO,COMUNA 1
122285,2021-12-31,11,Robo,-34.651508,-58.395431,BARRACAS,COMUNA 4
123892,2021-12-31,0,Robo,-34.628949,-58.41591,BOEDO,COMUNA 5
123894,2021-12-31,0,Hurto,-34.615838,-58.422467,ALMAGRO,COMUNA 5
124916,2021-12-31,13,Hurto automotor,-34.618333,-58.45704,CABALLITO,COMUNA 6
127438,2021-12-31,5,Robo,-34.628848,-58.462712,FLORES,COMUNA 7
127439,2021-12-31,9,Hurto,-34.630008,-58.46691,FLORES,COMUNA 7
127440,2021-12-31,11,Hurto,-34.626368,-58.471575,FLORES,COMUNA 7
127441,2021-12-31,12,Hurto,-34.627201,-58.474179,FLORES,COMUNA 7
127443,2021-12-31,1,Robo,-34.623762,-58.471219,FLORES,COMUNA 7
129070,2021-12-31,6,Robo,-34.65233,-58.466135,PARQUE AVELLANEDA,COMUNA 9
129072,2021-12-31,11,Hurto,-34.658828,-58.439597,VILLA SOLDATI,COMUNA 8
129073,2021-12-31,19,Robo automotor,-34.65872,-58.445443,VILLA SOLDATI,COMUNA 8
129715,2021-12-31,6,Hurto,-34.684474,-58.464624,VILLA LUGANO,COMUNA 8
129717,2021-12-31,10,Hurto,-34.691943,-58.463207,VILLA RIACHUELO,COMUNA 8
130622,2021-12-31,9,Hurto,-34.642451,-58.518427,LINIERS,COMUNA 9
130623,2021-12-31,15,Hurto,-34.644799,-58.51012,LINIERS,COMUNA 9
131385,2021-12-31,16,Robo,-34.630811,-58.440095,PARQUE CHACABUCO,COMUNA 7
132197,2021-12-31,14,Hurto,-34.62027,-58.525222,VILLA REAL,COMUNA 10
133023,2021-12-31,13,Hurto,-34.643601,-58.492836,VILLA LURO,COMUNA 10
133024,2021-12-31,23,Hurto,-34.635496,-58.49127,VELEZ SARSFIELD,COMUNA 10
133025,2021-12-31,8,Hurto automotor,-34.635821,-58.491173,VELEZ SARSFIELD,COMUNA 10
133029,2021-12-31,13,Robo,-34.633454,-58.480368,FLORESTA,COMUNA 10
134163,2021-12-31,1,Hurto,-34.59472,-58.508241,VILLA DEVOTO,COMUNA 11
134164,2021-12-31,14,Robo,-34.609108,-58.508156,VILLA DEVOTO,COMUNA 11
134165,2021-12-31,13,Hurto,-34.616558,-58.513333,VILLA DEVOTO,COMUNA 11
134166,2021-12-31,16,Robo,-34.610355,-58.516545,VILLA DEVOTO,COMUNA 11
134167,2021-12-31,19,Hurto,-34.595209,-58.509176,VILLA DEVOTO,COMUNA 11
135289,2021-12-31,16,Robo,-34.571504,-58.48734,VILLA URQUIZA,COMUNA 12
135290,2021-12-31,20,Robo,-34.572179,-58.494752,VILLA URQUIZA,COMUNA 12
