#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
111914,2021-07-31,18,Hurto,-34.572665,-58.506101,VILLA PUEYRREDON,COMUNA 12
111922,2021-07-31,8,Robo,-34.556257,-58.486603,SAAVEDRA,COMUNA 12
112843,2021-07-31,14,Robo,-34.558595,-58.44605,BELGRANO,COMUNA 13
112844,2021-07-31,22,Robo,-34.559711,-58.45035,BELGRANO,COMUNA 13
114333,2021-07-31,10,Robo,-34.588073,-58.411548,PALERMO,COMUNA 14
114334,2021-07-31,18,Hurto,-34.587403,-58.428161,PALERMO,COMUNA 14
114335,2021-07-31,11,Robo,-34.604562,-58.405475,BALVANERA,COMUNA 3
114345,2021-07-31,22,Hurto,-34.588236,-58.431028,PALERMO,COMUNA 14
115406,2021-07-31,14,Hurto,-34.594211,-58.424258,PALERMO,COMUNA 14
116236,2021-07-31,6,Hurto,-34.59902,-58.469085,PATERNAL,COMUNA 15
116238,2021-07-31,20,Robo,-34.585441,-58.445607,CHACARITA,COMUNA 15
116249,2021-07-31,7,Robo,-34.587429,-58.454975,CHACARITA,COMUNA 15
117403,2021-07-31,5,Robo,-34.596422,-58.403393,RECOLETA,COMUNA 2
117404,2021-07-31,2,Hurto,-34.597576,-58.400605,RECOLETA,COMUNA 2
117406,2021-07-31,9,Hurto,-34.586038,-58.402708,RECOLETA,COMUNA 2
117407,2021-07-31,17,Hurto,-34.593464,-58.407089,RECOLETA,COMUNA 2
117408,2021-07-31,22,Hurto,-34.586598,-58.429274,PALERMO,COMUNA 14
117411,2021-07-31,6,Hurto,-34.593073,-58.400375,RECOLETA,COMUNA 2
118611,2021-07-31,12,Robo,-34.61846,-58.397521,BALVANERA,COMUNA 3
118613,2021-07-31,13,Hurto automotor,-34.623877,-58.41145,SAN CRISTOBAL,COMUNA 3
118614,2021-07-31,16,Hurto,-34.62868,-58.406254,SAN CRISTOBAL,COMUNA 3
118617,2021-07-31,21,Robo,-34.617689,-58.394554,BALVANERA,COMUNA 3
118629,2021-07-31,8,Hurto,-34.619496,-58.395,SAN CRISTOBAL,COMUNA 3
120190,2021-07-31,16,Hurto,-34.64829,-58.415405,NUEVA POMPEYA,COMUNA 4
121289,2021-07-31,0,Hurto,-34.633539,-58.357141,BOCA,COMUNA 4
121764,2021-07-31,23,Robo,-34.645848,-58.377059,BARRACAS,COMUNA 4
121769,2021-07-31,3,Robo,-34.651508,-58.395431,BARRACAS,COMUNA 4
123105,2021-07-31,5,Robo,-34.634231,-58.410992,BOEDO,COMUNA 5
123106,2021-07-31,8,Robo,-34.621389,-58.423424,ALMAGRO,COMUNA 5
123108,2021-07-31,12,Hurto,-34.621692,-58.425167,ALMAGRO,COMUNA 5
124370,2021-07-31,6,Hurto,-34.618468,-58.428624,CABALLITO,COMUNA 6
124372,2021-07-31,16,Hurto,-34.616163,-58.429709,CABALLITO,COMUNA 6
124373,2021-07-31,2,Hurto,-34.615588,-58.429256,CABALLITO,COMUNA 6
124374,2021-07-31,21,Robo,-34.623355,-58.433385,CABALLITO,COMUNA 6
124375,2021-07-31,10,Hurto,-34.614507,-58.442407,CABALLITO,COMUNA 6
125554,2021-07-31,22,Robo,-34.642468,-58.445672,FLORES,COMUNA 7
125557,2021-07-31,23,Robo,-34.643576,-58.441477,PARQUE CHACABUCO,COMUNA 7
126819,2021-07-31,13,Robo,-34.631943,-58.473366,FLORES,COMUNA 7
126823,2021-07-31,10,Robo,-34.634641,-58.467766,FLORES,COMUNA 7
126826,2021-07-31,16,Hurto,-34.634456,-58.467963,FLORES,COMUNA 7
126837,2021-07-31,22,Robo,-34.623221,-58.477414,FLORES,COMUNA 7
128297,2021-07-31,6,Robo,-34.655976,-58.458999,VILLA SOLDATI,COMUNA 8
128309,2021-07-31,11,Robo,-34.64634,-58.461137,FLORES,COMUNA 7
128312,2021-07-31,12,Robo,-34.66021,-58.448977,VILLA SOLDATI,COMUNA 8
129397,2021-07-31,8,Hurto automotor,-34.68269,-58.463039,VILLA LUGANO,COMUNA 8
129398,2021-07-31,12,Hurto,-34.628924,-58.470556,FLORES,COMUNA 7
130202,2021-07-31,22,Hurto,-34.639017,-58.523521,LINIERS,COMUNA 9
130203,2021-07-31,0,Robo,-34.642799,-58.524765,LINIERS,COMUNA 9
130204,2021-07-31,9,Hurto automotor,-34.635703,-58.524784,LINIERS,COMUNA 9
130206,2021-07-31,15,Robo,-34.645499,-58.503997,LINIERS,COMUNA 9
130207,2021-07-31,15,Hurto,-34.641673,-58.528283,LINIERS,COMUNA 9
130209,2021-07-31,5,Robo,-34.641109,-58.515194,LINIERS,COMUNA 9
130212,2021-07-31,13,Hurto,-34.64666,-58.526255,LINIERS,COMUNA 9
130882,2021-07-31,9,Robo,-34.647884,-58.470832,PARQUE AVELLANEDA,COMUNA 9
131807,2021-07-31,13,Hurto,-34.615739,-58.527361,VILLA REAL,COMUNA 10
131808,2021-07-31,19,Hurto automotor,-34.625831,-58.527361,VERSALLES,COMUNA 10
131810,2021-07-31,18,Hurto,-34.633628,-58.520741,LINIERS,COMUNA 9
132692,2021-07-31,13,Robo,-34.632324,-58.476225,FLORESTA,COMUNA 10
132693,2021-07-31,17,Robo,-34.635742,-58.489261,VELEZ SARSFIELD,COMUNA 10
132694,2021-07-31,21,Robo automotor,-34.636402,-58.473889,FLORESTA,COMUNA 10
133621,2021-07-31,22,Robo,-34.622713,-58.517888,MONTE CASTRO,COMUNA 10
133622,2021-07-31,19,Robo,-34.59969,-58.524026,VILLA DEVOTO,COMUNA 11
134811,2021-07-31,10,Hurto,-34.592844,-58.505214,VILLA DEVOTO,COMUNA 11
134812,2021-07-31,20,Hurto automotor,-34.576552,-58.496551,VILLA URQUIZA,COMUNA 12
134818,2021-07-31,11,Hurto,-34.573371,-58.484565,VILLA URQUIZA,COMUNA 12
135676,2021-07-31,8,Robo,-34.563408,-58.475451,COGHLAN,COMUNA 12
136749,2021-07-31,19,Hurto,-34.602071,-58.432202,VILLA CRESPO,COMUNA 15
136758,2021-07-31,18,Robo,-34.539371,-58.475488,SAAVEDRA,COMUNA 12
138008,2021-07-31,0,Robo,-34.56913,-58.470867,BELGRANO,COMUNA 13
138009,2021-07-31,8,Hurto,-34.575728,-58.448093,COLEGIALES,COMUNA 13
138010,2021-07-31,10,Robo,-34.574839,-58.44773,COLEGIALES,COMUNA 13
138011,2021-07-31,9,Hurto,-34.558641,-58.463833,BELGRANO,COMUNA 13
138012,2021-07-31,15,Hurto,-34.574839,-58.44773,COLEGIALES,COMUNA 13
138013,2021-07-31,20,Robo automotor,-34.570546,-58.448568,COLEGIALES,COMUNA 13
138027,2021-07-31,21,Robo,-34.575429,-58.454915,COLEGIALES,COMUNA 13
138028,2021-07-31,6,Hurto,-34.569949,-58.447046,COLEGIALES,COMUNA 13
138032,2021-07-31,22,Hurto,-34.567839,-58.464031,BELGRANO,COMUNA 13
139180,2021-07-31,0,Hurto,-34.566255,-58.434524,PALERMO,COMUNA 14
139183,2021-07-31,10,Hurto automotor,-34.574556,-58.424992,PALERMO,COMUNA 14
139184,2021-07-31,5,Hurto,-34.589041,-58.442293,CHACARITA,COMUNA 15
139197,2021-07-31,11,Hurto,-34.563901,-58.440602,PALERMO,COMUNA 14
141495,2021-07-31,6,Robo,-34.594256,-58.434767,VILLA CRESPO,COMUNA 15
141497,2021-07-31,21,Robo,-34.602265,-58.438371,VILLA CRESPO,COMUNA 15
141526,2021-07-31,6,Robo,-34.589919,-58.400127,RECOLETA,COMUNA 2
142755,2021-07-31,5,Hurto,-34.613977,-58.387465,MONSERRAT,COMUNA 1
142757,2021-07-31,14,Hurto,-34.619505,-58.371525,SAN TELMO,COMUNA 1
143272,2021-07-31,1,Hurto,-34.603284,-58.394526,BALVANERA,COMUNA 3
149209,2021-07-31,12,Robo,-34.607036,-58.404806,BALVANERA,COMUNA 3
149211,2021-07-31,12,Hurto,-34.604887,-58.400685,BALVANERA,COMUNA 3
149212,2021-07-31,17,Hurto,-34.600551,-58.388077,SAN NICOLAS,COMUNA 1
149213,2021-07-31,12,Hurto,-34.619351,-58.477105,VILLA SANTA RITA,COMUNA 11
149214,2021-07-31,0,Hurto,-34.570073,-58.484401,VILLA URQUIZA,COMUNA 12
149215,2021-07-31,16,Robo,-34.630413,-58.381447,CONSTITUCION,COMUNA 1
149216,2021-07-31,19,Robo,-34.602868,-58.411439,BALVANERA,COMUNA 3
149217,2021-07-31,21,Robo,-34.613904,-58.39456,BALVANERA,COMUNA 3
149218,2021-07-31,22,Robo,-34.615454,-58.447949,CABALLITO,COMUNA 6
149220,2021-07-31,14,Robo,-34.618262,-58.498507,MONTE CASTRO,COMUNA 10
149243,2021-07-31,20,Hurto,-34.571579,-58.454447,COLEGIALES,COMUNA 13
149256,2021-07-31,0:00,Hurto,-34.614907,-58.437565,CABALLITO,COMUNA 6
149268,2021-07-31,22,Robo,-34.658016,-58.425335,NUEVA POMPEYA,COMUNA 4
149292,2021-07-31,22,Robo,-34.553313,-58.444707,BELGRANO,COMUNA 13
149408,2021-07-31,10,Hurto,-34.649888,-58.474118,PARQUE AVELLANEDA,COMUNA 9
154082,2021-07-31,10,Hurto,-34.652591,-58.381519,BARRACAS,COMUNA 4
155033,2021-07-31,15,Robo,-34.608002,-58.489681,VILLA DEL PARQUE,COMUNA 11
155282,2021-07-31,13,Robo,-34.581255,-58.408876,PALERMO,COMUNA 14
155831,2021-07-31,15,Robo,-34.607382,-58.377814,SAN NICOLAS,COMUNA 1
155925,2021-07-31,18,Hurto,-34.608097,-58.362981,PUERTO MADERO,COMUNA 1
155956,2021-07-31,18,Robo,-34.586344,-58.4022,RECOLETA,COMUNA 2
156327,2021-07-31,8,Hurto,-34.597943,-58.415853,ALMAGRO,COMUNA 5
156545,2021-07-31,14,Robo,-34.650178,-58.433543,FLORES,COMUNA 7
156816,2021-07-31,21,Robo,-34.662376,-58.506632,MATADEROS,COMUNA 9
157279,2021-07-31,16,Robo,-34.554329,-58.454762,BELGRANO,COMUNA 13
157464,2021-07-31,1,Robo,-34.588111,-58.42336,PALERMO,COMUNA 14
157774,2021-07-31,2,Robo,-34.590297,-58.407256,RECOLETA,COMUNA 2
158372,2021-07-31,21,Robo,-34.619365,-58.418939,ALMAGRO,COMUNA 5
