#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
111608,2021-03-31,9,Hurto,-34.569477,-58.489756,VILLA URQUIZA,COMUNA 12
111610,2021-03-31,19,Robo automotor,-34.541565,-58.476902,SAAVEDRA,COMUNA 12
111611,2021-03-31,23,Robo automotor,-34.569091,-58.49722,VILLA URQUIZA,COMUNA 12
111622,2021-03-31,15,Hurto,-34.574315,-58.486512,VILLA URQUIZA,COMUNA 12
112518,2021-03-31,6,Robo,-34.547957,-58.49491,SAAVEDRA,COMUNA 12
112519,2021-03-31,8,Hurto,-34.565813,-58.451711,BELGRANO,COMUNA 13
112520,2021-03-31,13,Robo,-34.550124,-58.449512,BELGRANO,COMUNA 13
112522,2021-03-31,8,Robo,-34.555952,-58.448157,BELGRANO,COMUNA 13
112539,2021-03-31,12,Hurto,-34.562011,-58.444623,BELGRANO,COMUNA 13
113708,2021-03-31,7,Hurto,-34.595596,-58.416508,PALERMO,COMUNA 14
113710,2021-03-31,14,Hurto,-34.597897,-58.414633,RECOLETA,COMUNA 2
113711,2021-03-31,18,Robo,-34.586018,-58.414807,PALERMO,COMUNA 14
113725,2021-03-31,9,Hurto,-34.584539,-58.415001,PALERMO,COMUNA 14
113733,2021-03-31,23,Robo,-34.585692,-58.426428,PALERMO,COMUNA 14
113736,2021-03-31,20,Hurto,-34.584021,-58.408705,PALERMO,COMUNA 14
115939,2021-03-31,5,Robo,-34.597685,-58.476831,PATERNAL,COMUNA 15
115941,2021-03-31,9,Robo,-34.573845,-58.48729,VILLA URQUIZA,COMUNA 12
116794,2021-03-31,0,Hurto,-34.598159,-58.408499,BALVANERA,COMUNA 3
116795,2021-03-31,8,Robo,-34.592998,-58.40292,RECOLETA,COMUNA 2
116797,2021-03-31,18,Robo,-34.593774,-58.404077,RECOLETA,COMUNA 2
116798,2021-03-31,16,Hurto,-34.599483,-58.401075,RECOLETA,COMUNA 2
116799,2021-03-31,16,Hurto,-34.59634,-58.401613,RECOLETA,COMUNA 2
116862,2021-03-31,18,Hurto,-34.597091,-58.400354,RECOLETA,COMUNA 2
116886,2021-03-31,7,Robo,-34.592585,-58.41065,RECOLETA,COMUNA 2
117472,2021-03-31,20,Robo,-34.596178,-58.411519,RECOLETA,COMUNA 2
119717,2021-03-31,20,Robo,-34.642876,-58.417057,NUEVA POMPEYA,COMUNA 4
119732,2021-03-31,17,Robo,-34.649754,-58.430592,NUEVA POMPEYA,COMUNA 4
119800,2021-03-31,16,Robo,-34.64508,-58.428856,NUEVA POMPEYA,COMUNA 4
121048,2021-03-31,13,Robo,-34.636729,-58.359882,BOCA,COMUNA 4
121743,2021-03-31,0:00,Hurto,-34.599633,-58.392937,RECOLETA,COMUNA 2
122674,2021-03-31,21,Hurto automotor,-34.633047,-58.411624,BOEDO,COMUNA 5
