#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
111196,2021-11-30,15,Robo,-34.611424,-58.468693,VILLA GRAL. MITRE,COMUNA 11
111203,2021-11-30,15,Robo,-34.616134,-58.467173,VILLA GRAL. MITRE,COMUNA 11
112301,2021-11-30,17,Hurto,-34.565408,-58.488858,VILLA URQUIZA,COMUNA 12
112302,2021-11-30,20,Hurto,-34.544969,-58.487391,SAAVEDRA,COMUNA 12
113247,2021-11-30,17,Robo,-34.562854,-58.451657,BELGRANO,COMUNA 13
113258,2021-11-30,11,Hurto,-34.563458,-58.445697,BELGRANO,COMUNA 13
115340,2021-11-30,8,Hurto,-34.58058,-58.422607,PALERMO,COMUNA 14
115341,2021-11-30,11,Robo,-34.583731,-58.413864,PALERMO,COMUNA 14
115342,2021-11-30,1,Hurto,-34.596554,-58.417855,PALERMO,COMUNA 14
115343,2021-11-30,12,Hurto,-34.594302,-58.430063,VILLA CRESPO,COMUNA 15
115344,2021-11-30,12,Hurto,-34.588421,-58.419374,PALERMO,COMUNA 14
115345,2021-11-30,8,Hurto,-34.583545,-58.425792,PALERMO,COMUNA 14
115346,2021-11-30,15,Hurto,-34.596947,-58.410235,RECOLETA,COMUNA 2
115347,2021-11-30,14,Hurto,-34.592971,-58.42806,PALERMO,COMUNA 14
115349,2021-11-30,18,Robo,-34.585151,-58.415956,PALERMO,COMUNA 14
115350,2021-11-30,18,Robo,-34.585951,-58.410246,PALERMO,COMUNA 14
115351,2021-11-30,9,Hurto automotor,-34.594733,-58.425092,PALERMO,COMUNA 14
115352,2021-11-30,21,Robo,-34.587554,-58.417928,PALERMO,COMUNA 14
115355,2021-11-30,23,Hurto,-34.584155,-58.411163,PALERMO,COMUNA 14
115361,2021-11-30,23,Hurto automotor,-34.582841,-58.442106,PALERMO,COMUNA 14
116616,2021-11-30,11,Hurto,-34.585342,-58.452712,CHACARITA,COMUNA 15
116618,2021-11-30,8,Robo,-34.587387,-58.45511,CHACARITA,COMUNA 15
116620,2021-11-30,19,Robo,-34.602682,-58.459582,PATERNAL,COMUNA 15
116622,2021-11-30,9,Robo,-34.591827,-58.445952,CHACARITA,COMUNA 15
118117,2021-11-30,11,Hurto,-34.599704,-58.392676,SAN NICOLAS,COMUNA 1
118118,2021-11-30,14,Hurto,-34.595612,-58.399897,RECOLETA,COMUNA 2
118121,2021-11-30,17,Hurto,-34.597192,-58.398067,RECOLETA,COMUNA 2
118124,2021-11-30,16,Hurto,-34.59442,-58.400931,RECOLETA,COMUNA 2
118125,2021-11-30,0,Hurto,-34.593774,-58.404077,RECOLETA,COMUNA 2
118126,2021-11-30,12,Robo,-34.594877,-58.400481,RECOLETA,COMUNA 2
118131,2021-11-30,23,Robo,-34.598002,-58.411924,RECOLETA,COMUNA 2
118159,2021-11-30,10,Hurto,-34.598615,-58.396504,RECOLETA,COMUNA 2
119144,2021-11-30,16,Robo,-34.623778,-58.402176,SAN CRISTOBAL,COMUNA 3
119145,2021-11-30,19,Robo,-34.616625,-58.411007,BALVANERA,COMUNA 3
119146,2021-11-30,21,Hurto,-34.622669,-58.391797,SAN CRISTOBAL,COMUNA 3
119148,2021-11-30,17,Hurto,-34.618617,-58.39885,SAN CRISTOBAL,COMUNA 3
119156,2021-11-30,7,Robo,-34.617195,-58.396059,BALVANERA,COMUNA 3
120699,2021-11-30,7,Hurto,-34.64234,-58.42024,NUEVA POMPEYA,COMUNA 4
120701,2021-11-30,14,Robo,-34.637028,-58.425808,PARQUE CHACABUCO,COMUNA 7
120702,2021-11-30,13,Hurto automotor,-34.635665,-58.418726,BOEDO,COMUNA 5
120705,2021-11-30,19,Robo,-34.653257,-58.423239,NUEVA POMPEYA,COMUNA 4
120706,2021-11-30,21,Hurto,-34.647812,-58.417649,NUEVA POMPEYA,COMUNA 4
120716,2021-11-30,12,Robo,-34.65508,-58.417394,NUEVA POMPEYA,COMUNA 4
121599,2021-11-30,8,Hurto,-34.644534,-58.36067,BOCA,COMUNA 4
121602,2021-11-30,18,Robo,-34.638015,-58.369579,BARRACAS,COMUNA 4
121603,2021-11-30,19,Robo,-34.638362,-58.35886,BOCA,COMUNA 4
121604,2021-11-30,22,Robo,-34.635318,-58.358894,BOCA,COMUNA 4
121610,2021-11-30,22,Hurto,-34.638979,-58.368366,BOCA,COMUNA 4
122157,2021-11-30,7,Robo,-34.645245,-58.37583,BARRACAS,COMUNA 4
122158,2021-11-30,15,Robo,-34.647892,-58.378595,BARRACAS,COMUNA 4
122160,2021-11-30,6,Hurto,-34.650866,-58.394308,BARRACAS,COMUNA 4
122162,2021-11-30,19,Robo,-34.645423,-58.381188,BARRACAS,COMUNA 4
122163,2021-11-30,19,Robo,-34.633474,-58.373457,BARRACAS,COMUNA 4
122170,2021-11-30,17,Robo,-34.654819,-58.398481,BARRACAS,COMUNA 4
123716,2021-11-30,7,Hurto,-34.63127,-58.424821,BOEDO,COMUNA 5
123719,2021-11-30,21,Robo,-34.585989,-58.446966,CHACARITA,COMUNA 15
124778,2021-11-30,3,Robo,-34.62782,-58.441346,CABALLITO,COMUNA 6
124780,2021-11-30,14,Hurto,-34.622866,-58.443421,CABALLITO,COMUNA 6
124783,2021-11-30,7,Robo,-34.617328,-58.429054,CABALLITO,COMUNA 6
124791,2021-11-30,18,Robo,-34.627921,-58.442053,CABALLITO,COMUNA 6
