#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
358,2022-01-31,22,Robo,-34.646234,-58.434926,PARQUE CHACABUCO,COMUNA 7
359,2022-01-31,23,Hurto automotor,-34.643689,-58.44709,FLORES,COMUNA 7
360,2022-01-31,23,Robo,-34.641798,-58.447495,FLORES,COMUNA 7
368,2022-01-31,5,Robo,-34.64444,-58.446144,FLORES,COMUNA 7
679,2022-01-31,5,Hurto,-34.598149,-58.384749,RETIRO,COMUNA 1
914,2022-01-31,22,Robo,-34.58282582,-58.41942991,PALERMO,COMUNA 14
1427,2022-01-31,0,Robo,-34.606922,-58.379329,SAN NICOLAS,COMUNA 1
1709,2022-01-31,22,Hurto,-34.609275,-58.39338,BALVANERA,COMUNA 3
1992,2022-01-31,22,Hurto,-34.610952,-58.430335,CABALLITO,COMUNA 6
2150,2022-01-31,23,Hurto,-34.59146,-58.43252,PALERMO,COMUNA 14
2547,2022-01-31,3,Hurto,-34.596163,-58.40846,RECOLETA,COMUNA 2
2826,2022-01-31,1,Robo,-34.648423,-58.416287,NUEVA POMPEYA,COMUNA 4
2828,2022-01-31,22,Robo,-34.645628,-58.427826,NUEVA POMPEYA,COMUNA 4
3460,2022-01-31,22,Robo,-34.6341,-58.446392,PARQUE CHACABUCO,COMUNA 7
3569,2022-01-31,0,Hurto,-34.67583506,-58.47594818,VILLA LUGANO,COMUNA 8
3570,2022-01-31,1,Hurto,-34.666383,-58.474636,VILLA LUGANO,COMUNA 8
4662,2022-01-31,23,Hurto,-34.65707,-58.508108,MATADEROS,COMUNA 9
4664,2022-01-31,0,Hurto,-34.573937,-58.498546,VILLA URQUIZA,COMUNA 12
4665,2022-01-31,22,Hurto,-34.602286,-58.396788,BALVANERA,COMUNA 3
4667,2022-01-31,23,Robo,-34.605833,-58.393773,BALVANERA,COMUNA 3
4668,2022-01-31,23,Robo,-34.648363,-58.416031,NUEVA POMPEYA,COMUNA 4
4683,2022-01-31,0,Robo,-34.573566,-58.458519,COLEGIALES,COMUNA 13
5235,2022-01-31,0,Hurto,-34.60777,-58.454337,CABALLITO,COMUNA 6
11656,2022-01-31,4,Hurto,-34.612575,-58.372367,MONSERRAT,COMUNA 1
11829,2022-01-31,20,Hurto,-34.58039768,-58.41187997,PALERMO,COMUNA 14
12097,2022-01-31,9,Robo,-34.689515,-58.479659,VILLA RIACHUELO,COMUNA 8
12206,2022-01-31,13,Robo,-34.616332,-58.422761,ALMAGRO,COMUNA 5
12291,2022-01-31,12,Robo,-34.644228,-58.493751,PARQUE AVELLANEDA,COMUNA 9
12299,2022-01-31,9,Robo,-34.595695,-58.389027,RECOLETA,COMUNA 2
12819,2022-01-31,13,Hurto,-34.605825,-58.415414,ALMAGRO,COMUNA 5
12852,2022-01-31,6,Hurto,-34.586432,-58.433328,PALERMO,COMUNA 14
12956,2022-01-31,12,Robo,-34.592431,-58.404245,RECOLETA,COMUNA 2
13012,2022-01-31,10,Hurto,-34.620106,-58.398771,SAN CRISTOBAL,COMUNA 3
13311,2022-01-31,9,Robo,-34.599198,-58.388049,RECOLETA,COMUNA 2
13408,2022-01-31,13,Hurto,-34.578093,-58.431237,PALERMO,COMUNA 14
14983,2022-01-31,19,Robo,-34.558835,-58.458361,BELGRANO,COMUNA 13
15108,2022-01-31,16,Hurto,-34.642384,-58.373895,BARRACAS,COMUNA 4
15436,2022-01-31,21,Hurto,-34.61595,-58.376037,MONSERRAT,COMUNA 1
15598,2022-01-31,15,Hurto,-34.588922,-58.393629,RECOLETA,COMUNA 2
15855,2022-01-31,15,Hurto,-34.586685,-58.410271,PALERMO,COMUNA 14
