#,Fecha,Franja Horaria,Tipo,Latitud,Longitud,Barrio,Comuna
1115150,2023-06-30,17,Amenazas,-34.638682,-58.362239,BOCA,COMUNA 4
1115347,2023-06-30,13,Amenazas,-34.607781,-58.371093,SAN NICOLAS,COMUNA 1
1115534,2023-06-30,18,Amenazas,-34.61965,-58.375135,SAN TELMO,COMUNA 1
1115908,2023-06-30,0,Amenazas,-34.581731,-58.381263,RETIRO,COMUNA 1
1116085,2023-06-30,15,Amenazas,-34.6275,-58.384016,CONSTITUCION,COMUNA 1
1116270,2023-06-30,0,Amenazas,-34.638371,-58.38738,BARRACAS,COMUNA 4
1116444,2023-06-30,17,Amenazas,-34.632152,-58.390487,CONSTITUCION,COMUNA 1
1116564,2023-06-30,16,Amenazas,-34.625338,-58.392427,SAN CRISTOBAL,COMUNA 3
1116608,2023-06-30,1,Amenazas,-34.597783,-58.39325,RECOLETA,COMUNA 2
1117112,2023-06-30,16,Amenazas,-34.627719,-58.403056,SAN CRISTOBAL,COMUNA 3
1117338,2023-06-30,3,Amenazas,-34.599318,-58.406118,BALVANERA,COMUNA 3
1117339,2023-06-30,3,Amenazas,-34.599318,-58.406118,BALVANERA,COMUNA 3
1118056,2023-06-30,22,Amenazas,-34.575612,-58.422215,PALERMO,COMUNA 14
1118097,2023-06-30,15,Amenazas,-34.616813,-58.423173,ALMAGRO,COMUNA 5
1118129,2023-06-30,23,Amenazas,-34.584389,-58.423801,PALERMO,COMUNA 14
1118257,2023-06-30,19,Amenazas,-34.64694,-58.427147,NUEVA POMPEYA,COMUNA 4
1118292,2023-06-30,0,Amenazas,-34.64358,-58.428348,NUEVA POMPEYA,COMUNA 4
1118293,2023-06-30,13,Amenazas,-34.64358,-58.428348,NUEVA POMPEYA,COMUNA 4
1118353,2023-06-30,0,Amenazas,-34.661313,-58.430355,VILLA SOLDATI,COMUNA 8
1118354,2023-06-30,0,Amenazas,-34.661313,-58.430355,VILLA SOLDATI,COMUNA 8
1119257,2023-06-30,0,Amenazas,-34.656052,-58.450764,VILLA SOLDATI,COMUNA 8
1119441,2023-06-30,20,Amenazas,-34.592926,-58.453843,CHACARITA,COMUNA 15
1119739,2023-06-30,16,Amenazas,-34.556651,-58.459435,BELGRANO,COMUNA 13
1120043,2023-06-30,16,Amenazas,-34.54472,-58.464583,NUÑEZ,COMUNA 13
1120044,2023-06-30,16,Amenazas,-34.54472,-58.464583,NUÑEZ,COMUNA 13
1120842,2023-06-30,16,Amenazas,-34.552791,-58.475102,SAAVEDRA,COMUNA 12
1120931,2023-06-30,21,Amenazas,-34.612767,-58.476652,VILLA GRAL. MITRE,COMUNA 11
1121077,2023-06-30,12,Amenazas,-34.677011,-58.479913,VILLA LUGANO,COMUNA 8
1121714,2023-06-30,12,Amenazas,-34.671152,-58.490711,VILLA LUGANO,COMUNA 8
1122205,2023-06-30,8,Amenazas,-34.594669,-58.502452,AGRONOMIA,COMUNA 15
1122214,2023-06-30,19,Amenazas,-34.629853,-58.502537,VELEZ SARSFIELD,COMUNA 10
1122569,2023-06-30,19,Amenazas,-34.587052,-58.514962,VILLA DEVOTO,COMUNA 11
1122674,2023-06-30,19,Amenazas,-34.657171,-58.520106,MATADEROS,COMUNA 9
1123949,2023-06-30,9,Lesiones Dolosas,-34.62496,-58.364266,SAN TELMO,COMUNA 1
1126227,2023-06-30,18,Lesiones Dolosas,-34.620646,-58.396713,SAN CRISTOBAL,COMUNA 3
1126526,2023-06-30,13,Lesiones Dolosas,-34.589418,-58.400292,RECOLETA,COMUNA 2
1126664,2023-06-30,19,Lesiones Dolosas,-34.626469,-58.401787,SAN CRISTOBAL,COMUNA 3
1126949,2023-06-30,0,Lesiones Dolosas,-34.598125,-58.40538,BALVANERA,COMUNA 3
1127302,2023-06-30,13,Lesiones Dolosas,-34.612684,-58.409296,BALVANERA,COMUNA 3
1127561,2023-06-30,12,Lesiones Dolosas,-34.593906,-58.412576,RECOLETA,COMUNA 2
1127734,2023-06-30,18,Lesiones Dolosas,-34.646969,-58.416301,NUEVA POMPEYA,COMUNA 4
1128285,2023-06-30,7,Lesiones Dolosas,-34.588714,-58.426204,PALERMO,COMUNA 14
1128286,2023-06-30,7,Lesiones Dolosas,-34.588714,-58.426204,PALERMO,COMUNA 14
1128479,2023-06-30,0,Lesiones Dolosas,-34.661313,-58.430355,VILLA SOLDATI,COMUNA 8
1128735,2023-06-30,22,Lesiones Dolosas,-34.604216,-58.434821,CABALLITO,COMUNA 6
1128778,2023-06-30,20,Lesiones Dolosas,-34.64745,-58.435583,FLORES,COMUNA 7
1128936,2023-06-30,2,Lesiones Dolosas,-34.587243,-58.438451,PALERMO,COMUNA 14
1129570,2023-06-30,15,Lesiones Dolosas,-34.662284,-58.448705,VILLA SOLDATI,COMUNA 8
1129861,2023-06-30,10,Lesiones Dolosas,-34.550408,-58.453252,NUÑEZ,COMUNA 13
1130522,2023-06-30,2,Lesiones Dolosas,-34.578257,-58.462361,VILLA ORTUZAR,COMUNA 15
1130669,2023-06-30,12,Lesiones Dolosas,-34.553359,-58.464846,NUÑEZ,COMUNA 13
1130670,2023-06-30,12,Lesiones Dolosas,-34.553359,-58.464846,NUÑEZ,COMUNA 13
1130973,2023-06-30,19,Lesiones Dolosas,-34.681525,-58.46702,VILLA LUGANO,COMUNA 8
1131550,2023-06-30,16,Lesiones Dolosas,-34.659969,-58.473571,PARQUE AVELLANEDA,COMUNA 9
1131551,2023-06-30,16,Lesiones Dolosas,-34.659969,-58.473571,PARQUE AVELLANEDA,COMUNA 9
